================================================================================
GENKI TEXTBOOK VOLUME 1 - KANJI & PHRASES DATABASE
LESSONS: 3 - 10 (Reading and Writing Section)
SOURCE: User Input (L6-9) + Standard Genki 3rd Edition Curriculum (L3-5, 10)
================================================================================

=== LESSON 3: Numbers and Time (まいにちのせいかつ) ===

Kanji | Phrases / Compounds | Readings | Meaning
言 | 言語 | げんご | language
言 | 言葉 | ことば | word; language
読 | 読む | よむ | to read
読 | 読書 | どくしょ | reading books
思 | 思う | おもう | to think
次 | 次 | つぎ | next
次 | 次女 | じじょ | second daughter
何 | 何 | なに | what
何 | 何時 | なんじ | what time
何 | 何人 | なんにん | how many people
何 | 何か | なにか | something

---

=== LESSON 9: Past Tense (ソラさんのにっき) ===

Kanji | Phrases / Compounds | Readings | Meaning
午 | 午前 | ごぜん | A.M.
午 | 午後 | ごご | P.M.
午 | 午前中 | ごぜんちゅう | in the morning
後 | 午後 | ごご | P.M.
後 | 〜の後 | 〜のあと | after...
後 | 後で | あとで | later
後 | 後ろ | うしろ | back; behind
前 | 前 | まえ | before; front
前 | 午前 | ごぜん | A.M.
前 | 名前 | なまえ | name
名 | 名前 | なまえ | name
名 | 有名な | ゆうめいな | famous
白 | 白い | しろい | white
雨 | 雨 | あめ | rain
書 | 書く | かく | to write
書 | 辞書 | じしょ | dictionary
書 | 図書館 | としょかん | library
友 | 友だち | ともだち | friend
友 | 親友 | しんゆう | best friend
間 | 間 | あいだ | between
間 | 時間 | じかん | time
間 | 二時間 | にじかん | two hours
間 | 人間 | にんげん | human being
家 | 家 | いえ | house
家 | 家族 | かぞく | family
話 | 話す | はなす | to speak
話 | 話 | はなし | talk; story
話 | 電話 | でんわ | telephone
話 | 会話 | かいわ | conversation
少 | 少し | すこし | little
少 | 少年 | しょうねん | boy
古 | 古い | ふるい | old (for things)
古 | 中古 | ちゅうこ | secondhand
知 | 知る | しる | to know
知 | 知人 | ちじん | acquaintance
来 | 来る | くる | to come
来 | 来ます | きます | to come (masu form)
来 | 来ない | こない | not to come
来 | 来週 | らいしゅう | next week

---

=== LESSON 10: Comparison and Travel (むかしばなし) ===

Kanji | Phrases / Compounds | Readings | Meaning
住 | 住む | すむ | to live
住 | 住所 | じゅうしょ | address
正 | お正月 | おしょうがつ | New Year
正 | 正しい | ただしい | right; correct
年 | 三年生 | さんねんせい | third-year student
年 | 来年 | らいねん | next year
年 | 今年 | ことし | this year
年 | 年 | とし | year
売 | 売る | うる | to sell
売 | 売店 | ばいてん | stand; kiosk
買 | 買う | かう | to buy
買 | 買い物 | かいもの | shopping
町 | 町 | まち | town
長 | 長い | ながい | long
長 | 社長 | しゃちょう | company president
道 | 道 | みち | way; road
道 | 書道 | しょどう | calligraphy
雪 | 雪 | ゆき | snow
雪 | 新雪 | しんせつ | new snow
立 | 立つ | たつ | to stand
立 | 国立大学 | こくりつだいがく | national university
自 | 自分 | じぶん | oneself
自 | 自動車 | じどうしゃ | automobile
自 | 自由 | じゆう | freedom
夜 | 夜 | よる | night
夜 | 夜中 | よなか | middle of the night
朝 | 朝 | あさ | morning
朝 | 今朝 | けさ | this morning
朝 | 朝食 | ちょうしょく | breakfast
持 | 持つ | もつ | to hold
持 | 持ってくる | もってくる | to bring
持 | 金持ち | かねもち | rich person
================================================================================
